xHandle,displayName,tier,cluster,composite_z,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,cryptoCreatorXeets,multiplierBreadth,osFloorCommon,ethSaleVolume,highestSaleCommon,priceTrajectory,saleVelocity30d,ownCardsHeld,deckReachScore,followers
bearish_af,BEARISH,Legendary,1,-0.987055787129089,0.0,0,,,,0,,0.543729,0.015,0.00032727201795604445,10,1,46.8,66669.0
tolibear_,toli,Legendary,1,-0.44309874022624435,1324.437704,3,0.8368936540599909,0.6456898832005131,121.426108,1,0.0099,0.174389999,0.01,0.0004784356847974285,6,2,46.8,30016.0
iiamthatguyy,Anthony prev (The Honored One),Epic,0,0.09238060836624917,210.948977,1,0.9472214796994267,0.9207232242509067,,0,0.00119897,0.026296970000000003,0.006,-0.000458684672550122,17,6,10.7,1189.0
CelticMatheus,Matheus Celtic,Epic,0,-0.3271391775405731,1650.7296629999998,3,0.8683248211485766,0.6356283799046115,1471.674746,0,,0.011349,,,2,0,,37578.0
Airdrops_one,Grey Ledger,Epic,0,-0.026639357680775855,71.055899,1,0.9365588523567674,0.8673293216182205,,0,,0.00829,0.0017,-0.00016580920574426643,5,1,0.3,145243.0
manyaaww,manya,Epic,0,0.07644760989162952,2355.275309,7,0.8738377101245192,0.6917307114602085,1807.518076,0,0.003,0.0036,0.0011,-0.0002720251658416506,4,1,11.3,14599.0
dachshundwizard,DachshundWizard 🧙‍♂️,Epic,0,-0.5238101610252424,1880.90091,2,0.8651909542133736,0.5337513980038421,1856.807375,0,,0.002,0.001,,2,1,3.3,49965.0
nashahmed3,Nash,Epic,0,-0.6288502447335871,689.83542,2,0.8705751784565398,0.5080011110624134,635.223382,0,0.0029,0.0075,0.0029,0.0019097490082804205,1,1,18.7,11152.0
bigwil,bigwil,Epic,0,-0.19847701256463576,1206.493692,2,0.9308710636409343,0.6469724641666796,1118.114412,0,,0.0,,,0,1,56.8,13388.0
fud_berry,berry,Epic,0,-0.9864865731958165,3.852729,0,,,,0,0.001379,0.03012696,0.0056,0.0016146072390092834,5,1,1.5,33231.0
Houseofyogi,Yogi,Legendary,1,0.5163113705970013,2797.193692,3,0.9768750752948461,0.9244136031637945,2265.284289,0,,0.010499999999999999,0.008,0.00786310990929897,1,1,14.1,36902.0
voxelqueen,VQ,Epic,0,-0.9754143574808668,277.693377,3,0.744483140530256,0.539765035782478,201.515008,0,,0.0031999999999999997,0.0012,0.00047691524849195256,0,1,6.9,13385.0
Mide_ox,X,Epic,0,-0.28780618503911515,854.995494,5,0.8666294621289452,0.6177351965280609,507.590545,0,0.0098,0.022799999999999997,0.0125,-0.0023210053314232874,2,1,46.8,8902.0
justmeg,Meg,Epic,0,0.24656592813874786,1661.126947,4,0.9524156820361206,0.8014780881337158,553.338221,0,,0.0033,0.0012,0.00040546510719704896,0,6,95.1,20585.0
Nick_Researcher,Nick Research,Epic,0,-0.09648132596740709,1393.575599,2,0.9488189827715481,0.6674041142190928,1229.314428,0,0.00999,0.0009,0.0009,,0,1,32.7,10498.0
djDriverless,Beamish,Epic,0,-0.6442149567968543,656.7913490000001,3,0.7955009871577982,0.6363504116939688,537.393724,0,0.00119,0.06739,0.0013,0.0006328844556790657,13,1,34.8,5304.0
leiane1,Leiane.eth  ☮️,Legendary,1,-0.2206863716254165,1807.096376,3,0.9689539858801722,0.4574635205576416,1122.321676,1,0.003,0.065064,0.0035,-0.003740299241857953,9,1,96.9,91800.0
SOLHUSTLER,HST 🌋,Epic,0,0.020180080213181302,1478.02113,2,0.9900002079063828,0.6469476776867816,,1,0.001499,0.10799879989998,0.0027,-0.0032413026899563964,17,1,30.7,1132.0
frostyz,Frostyz,Epic,0,-0.4301124140433198,1041.7112809999999,2,0.9111269231073307,0.5347604662113145,973.946541,0,0.00299,0.04535000000000001,0.004,-0.0002508785263185538,9,1,25.1,7559.0
0xkovv,Kov (effort arc),Epic,0,-0.05647277094555048,686.4458380000001,2,0.8825849451419885,0.8980370588912227,617.362109,0,0.00199,0.034350000000000006,0.0015,-0.00026683620359932707,10,1,42.2,15521.0
Pons_ETH,Pons Asinorum,Legendary,1,2.2051199401931045,17922.477654000002,18,0.9264675547013547,0.7625439538083877,4897.657463,0,0.037,0.7630899999999999,0.0455,0.031070952533437706,6,1,22.3,72345.0
