xHandle,residual
tolibear_,0.053092348923882225
iiamthatguyy,-0.00021472365575704068
Airdrops_one,0.001596831829427547
nashahmed3,0.05453619783540888
fud_berry,0.009251908736254949
voxelqueen,-0.000682477298916938
Mide_ox,-0.00027225149901806585
justmeg,-0.007475354479227215
djDriverless,-0.008055601926647187
leiane1,-0.008777592448561519
SOLHUSTLER,-0.002101086506443549
0xkovv,-0.007352404298924864
Pons_ETH,0.017412319169512504
MeetAminX,-0.010122051524970954
0xfs7,-0.008181006729696948
BlueWolfNFTs,0.0023038186061748196
Frenchiee,-0.011613405645426537
GUJJUIIXI,-0.004462947233919781
NDIDI_GRAM,-0.01328833847593087
RealPiffsPeak,-0.004837362757296238
Telcier,0.007786502827673642
dustinvibes,0.0036090477649718157
CryptoArter,-0.0002040987110896817
sanjaybuilds_,-0.004267801140707185
0xasrequired,0.0017749417242618748
ruledout_,-0.011178770281181432
OUchrisNFTs,0.007871130224094566
lokithebird,-0.009974842160325426
SALAMANDER12_,-0.01267069735248211
Truunik,0.008782591330098658
moneyfet1sh,-0.00023121578551904727
SHGFees,-0.0021742357760953087
CuzmanovS,-0.00529731744691018
greenknight_sol,-0.0022168428227234156
stake_mm,-0.003233015297630917
Smolpeach33,-0.00729528680019959
Cryptowithkhan,0.0013056819059536658
josephweb3,-0.009744410938341974
Wezaverse,-0.008983505523634734
LucBerkefeld,-0.0015386028396064764
ethmaxi,-0.0062240981694007425
Allenbaez126,-0.003912955788788591
SquiddyNFT,-0.008825927525011365
AzFlin,-0.007328300069408525
juaneth77,0.0027093402728362234
GemsScope,-0.004370250530332083
alphabatcher,0.0002713697103160651
666Sixpaths,0.0017499645810069428
YatMuseum,-0.0002863493747543753
youfadedwealth,0.03617545995000336
jowenNFT,0.0005380951743015052
CryptoGorilla,-0.009993827399155992
GaspodeWD,0.006461439011274607
thegreatola,-0.009120473746551899
shredder_tegg,-0.010752854974099701
degenBRO__,-0.009825240821170941
IbraTheDabra,-0.006677025741834346
CryptoeJammin,-0.0023300769053194144
shannholmberg,0.03852394062319969
Just_Jibon,0.0006323408988826551
N3XTTT,0.0053966780366282285
MasterChiefNFTs,-0.00486303147387566
thekuchh,-0.005524142428525137
threadoor,-0.009787069085583022
pgreyy,-0.005495864435840629
_yourbros,-0.006084647622409506
onchainmo,-0.004309024060406118
jeg6322,-0.0020606456111950684
0xbeiu,0.0054254098034791365
thelearningpill,-0.0075157126572872246
HollanderAdam,-0.010252614844258153
tictacmagic_,-0.003617590642647857
henwyeth,-0.007480491122609354
bull_boiy,0.007004268352072092
thegaboeth,-0.0073713080940594035
KaruptKP,-0.012704698008682042
brave_raf,-0.0008819288037052089
hannahhughes,0.008863186240800137
katexbt,-0.006489929131234796
twenty3ry,-0.006391471760162283
EricCLFung,-0.015510915846340512
bigZUKO_,-0.009847485902321955
PlatyMama_,-0.006453385567527122
queenmoon1337,-0.0033831813591444653
Dbiljonaire,-0.009024560900842742
Potterplays1,0.0006851655144948753
UxGsol,-0.0019843947201576076
GeoOnchain,-0.010241046148529913
Y4NGO,-0.004457905625024636
InfinityGlock99,0.0011600005372711386
cryptodaaddy,-0.011330829841682166
flb_xyz,-0.011744029576915147
0xChvd,-0.0035999356334837536
connetwitheasy,-0.00964570165032925
MINHxDYNASTY,-0.0021303285550047096
SHADOW_NFT15,-0.002148527879261789
Sk0rpETH,0.0006639486733518345
viiibe,-0.013193377543802766
ghostdotxyz,-0.007642381608418973
fimmonaci,-0.0026074532153350267
evans1vn,-0.003541472981012064
maskjiro,-0.013242065542333287
PhinTotten,-0.011617780335624207
vohvohh,0.03301421948267945
Nadir_Nfts,0.0023475860738514827
SHL_eth,-0.002275530493792059
MookieNFT,-0.003941841839023045
Jakeronthia_,-0.0052579244582313805
0xMelkoreth,-0.004141342273644643
MatDefies,0.002934573992814362
PoyoEB,-0.009718895392272242
_matisei,0.012467886709294157
thebbz,-0.0026464638189752643
adamagb,-0.009157297209808625
Scooter_420,-0.011729874503844918
T_A_K_E_N_1,-0.008253353210912567
RajPatel,-0.013927125731487827
monitalan,0.003267337081985209
THE_INKSOMNIA,0.00436036712462747
davidonchainx,-0.00924039625030658
bored_vic,-0.012106639702806218
KalkixWeb3,0.0036111939763988233
Oxxyy13,-0.00036523748163926756
loshmi,-0.00792678902844759
merheb,-0.002385460551461679
AndrewAsksHow,-0.0038770367622636137
zacxbt,-0.004975131495015599
BlueTigerX_,-0.008523959251211926
PenguinWeb3,-0.003638613802726143
IdMintThat,-0.0102524022456524
m00des,-0.00942985312387454
HelloBenWhite,-0.011475400719774296
BuzzMalx,0.0012474900887429795
ryannnsmit,-0.00345414851989397
D3TRIOTT,-0.010065285871656584
Crypto_Zh0u,-0.007288191755291738
FourVork,-0.01105493175804386
juliadziesinska,-0.0020174124983360336
weston_union,-0.0036203173284399207
ChrisJourdan,-0.003873534399571143
EscanorDz100,-0.007237077263746018
yulikay,0.0014459115511671235
Crypto_bn,-0.011256302902919239
SHWEPPS_,-0.0004683582758745093
ZhugeLyang,-0.010843685012648737
mayamaster,0.008029854066318414
JefferyCrypt,-0.00924904408943926
parcifap,-0.005343394341055506
AnnieNFTT,-0.008058118936105925
Tma_420,0.020117538376083946
banditxbt,-0.0029182967154896405
LostSnow_Rin,-0.006319479377129707
oxtochi,-0.010344271162720868
darkanft,0.01109625251541313
MrGreenity,-0.0052843653452355685
CrypSaf,0.0799250467354804
solfrater_sol,-0.004055575099137125
0xBellinili,0.0031636097898326875
diegoarmandoAD,-0.012105186464103728
the_jujukey,-0.00482240947880821
0xSanixxx,-0.0002855301596451495
zaimiri,-0.010164983032334625
Kaffchad,-0.0061456540015313275
yonann,-0.0002008254874735025
gomtu_xyz,-0.00674124339902276
Kudabajingan,-0.006934192234115582
Jackhaldorsson,-0.0017651977810958907
Bellerophontis2,-0.009771408908842144
matchayuma,0.0004909140255445112
edoweb3,-0.009391166438034563
defidarling,-0.0005420639851789998
CasperOnChain,-0.0053403492605230436
cartist00,-0.0037074796890201496
iMithrandir_,-0.008385558087166444
Nxtlvl,0.02894783319810649
DoggfatherCrew,-0.005086966051599428
DWDrummer_eth,-0.0010137776941637456
zera_chielo,0.0612600039156927
Carlitoswa_y,-0.007301542173130757
mariannehere,0.005729562838786298
MadMaxx_eth,-0.013616911846675076
Deebs_DeFi,0.07802206376762219
TheCryptoProfes,0.03105713925142147
VideHaldorsson,-0.007753084436821357
Riowgmi,-0.005442077227456555
jade_defi,-0.007863565940249251
elenionchain,-0.002803670034032096
pawnie_,0.032162653331989276
swandogs,0.0037914920058176003
0xchainBob,-0.0028854374618412313
cabenX,-0.012761616854070672
Danny7xEth,-0.0025920372225111503
nftriles,-0.009733556371086317
dreweth,-0.003973849762121274
KierianV,-0.00872207758283208
morsyxbt,-0.007442732061735115
walsxbt,0.01059380634355193
ripchillpill,0.004437008625623592
anda765,-0.004768068097223547
xerocooleth,-0.009325709418219644
Jai0xCrypto,-0.010360788204107182
bitrusxbt,0.003505006899373676
dazzlercoin,0.0028153089787950024
BR4ted,0.03166660803588447
R2D2zen,0.008595975133198045
vikktorrrre,-0.004726760616898825
lechriss17,-0.0028736166113146524
mhknft,-0.004415632633176007
treeonchain,0.08492200422672355
MalayAhmad,-0.010878340748627542
Defi_Scribbler,0.01967834543271344
man_versus_coin,-0.0019250749541418217
jyp_nft,-0.0057856129939728215
Kaiz_294,-0.003427601988327221
Elminselimov5,-0.00024049224227399267
yvohvn,-0.0014581762788919168
holly_web3,-0.004671114485255375
MedusaOnchain,0.08214393609304278
Sonika_KK,-0.0002976741455727899
AtnsXBT,-0.010423597630312741
Oxydo11,0.0004960508297889802
XammieCrypt,-0.01096500799445224
Dashke,-0.013439605063171467
WYdaGOAT,-0.004669521170199293
lizmoneyweb,0.028744667654250676
triples_eth,-0.004575455735346978
0xAmne,-0.00552469218786532
enftsar,-0.008282782047891
Jonasoeth,-0.010868419834397
xFactorPOL,-0.003858984639219589
aibra,-0.011736138794651416
0xrif0,0.014253002756114307
0xxNathan,-0.009889772678734128
AnIdiot,0.006091902543282098
0xmani,-0.010374326116757726
AlphaWolfPRMR,-0.0115924948187917
0xTJustin,-0.014640733416456374
Shivfreespirit,-0.0107901793341855
Meta_ZET,0.012227723783787023
0xTama_,-0.0016724914645420822
doc_noonoo,0.0038095336442758223
kaitoxbt,-0.007655671793081713
BawsaXBT,-0.009320266755458242
heycape_,-0.010683864954712432
greenytrades,0.00395224100391137
whemohere,-0.012296214558761885
apurvajain24,-0.0030067056997407303
WithEsibe,-0.008573241807462852
Tuteth_,0.013633283899542235
FFVV1211,-0.010900882079903175
waleswoosh,0.06584357344915509
Aurelius_1988,-0.012757863385466313
Deviled_meggs_,-0.010214653064196971
DaSpookyMan,-0.00825283473187029
wilson_,-0.012006451919221367
_Craig_,-0.009228164314299925
huseyin1tekin,0.03412302739278525
krpisoweb3,-0.003637453875969627
molusol,-0.008782413265382347
CryptoVonDoom,0.010904512248775169
ilodiwow,0.00046038477120743417
hyperstrike,0.013508311322773801
tdkimber,-0.0115497043982619
DjaniWhaleSkul,-0.006840914817598806
RealDuckMaster,-0.005077751536525784
jennn_sol,0.004417653385958434
byshagrath_,-0.0009512297090923916
Daco1008,-0.006241583782559107
theagnft,-0.012747860950597368
depressivehacks,-0.005054373979273281
NF_Janner,0.0099227094381672
thejasich,-0.00723226391695787
craigscoinpurse,0.008406419144252457
chesus,0.07374823158811826
nftboi_,-0.007845801258053006
beausecurity,0.0036128326055315206
Senti__23,-0.009051200039611285
what3verman,-0.008544958729959855
OGLemur,0.005637202593417557
ZKernaut,-0.006425005156510467
chefgoose,-0.00631566001116157
ProofOfEly,0.11709087274383856
camolNFT,-0.008730850751231355
Jackkk,-0.006076423070660645
PixassoHQ,-0.0029960955391167077
Napoleecrypt,-0.006599291462039509
Rakermoon,0.022932110171620862
GMB_AOB,-0.0069604968120799676
0xleegenz,-0.00479620447643265
TheAntAcademy,-0.0005188310180180965
FogoNPC,-0.008416549372494392
TMoneyy,0.007552152676077036
Aizcalibur,0.0011312341586704796
hankisinvesting,-0.0020196232863765942
Rempo1,-0.0057466746056510625
PopPunkOnChain,-0.003692736771186046
Teacher96_Katie,0.017519307187480487
ProofOfTravis,-0.007518865325305985
GuigsLuke,-0.003816810988618769
BetmanJoe,0.018564063386906277
levithefirst,-0.002552140083501092
smolgeeek,0.02644217291681024
0xumutcan,-0.005847819950358131
flyest,-0.006932794607545263
itskkoma,0.007503785485336648
crazino87,-0.003920567123345023
austiinxbt,-0.010982599203964329
zaddyfi,0.002481871051818598
swankyjohnx,0.007799268361188317
RiddlerNFT,-0.012396187545096108
amit0xic,-0.0090503577137301
bunya_eth,-0.006901774113957865
OODEGEN,-0.012770484211162994
anytwocardzz,-0.007326807864281203
zubic_eth,-0.01008278788475635
johnjassper,-0.007814269425263528
Jampzey,-0.009257541786145665
MagicMikeEditss,-0.010587771321644231
Gyokeres_eth,0.01761386354987258
TimHaldorsson,-0.010108460190481781
R3birth,-0.0049580158994634894
MtroX207,-0.011752838727929295
joxiecoxie,-0.00943748281506371
jgonzalezferrer,0.003078773177695296
AInvestor_11,-0.009210380587024006
emilios_eth,-0.006743654067374736
xeetdotai,0.019591561840096507
scottybmitch,0.08421735649496925
