rank,xHandle,displayName,tier,compositeScore,dim_performance,dim_market,dim_ecosystem,dim_reach,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,osFloorCommon,ethSaleVolume,highestSaleCommon,deckReachScore,followers
1,ProofOfEly,Ely,Mythic,89.8238345881103,90.18095093882495,81.39744000635514,95.4123637989917,88.9668775954123,30073.826631,17,0.9885672474420408,0.7288632269187438,0.079999999,2.7028599899999706,0.049,98.5,43279.0
2,lizmoneyweb,Lizzie,Mythic,87.94865153604377,92.43614980819704,74.88181339532315,95.72206862904538,79.38560411311053,14280.055781999998,13,0.9888525419153525,0.8220217811806039,0.035,0.28969998888799003,0.01699999999999,99.5,11048.0
3,TimHaldorsson,Tim Haldorsson,Mythic,86.31772312871412,91.11422370280638,74.372599293018,94.26343714425111,76.06634368202491,10822.504989000001,8,0.9907535564858483,0.8266208639111587,0.006,0.202068,0.01,99.5,31494.0
4,waleswoosh,wale.moca 🐳,Mythic,81.89045128626536,82.24081364829397,82.88850034335496,85.16502005746193,76.64039944631203,15498.440375999999,12,0.9580862632270112,0.7717311086841065,0.0477,3.0957978899999996,0.089,99.0,172546.0
5,Tuteth_,tut™,Mythic,81.5978921682909,84.51014536644459,75.79677734501378,84.48204992681738,76.51621514732054,10126.569162,8,0.9609873063089489,0.855360585796868,0.0069,0.20589000000000002,0.008,92.6,25098.0
6,chesus,CHESUS🧀,Mythic,81.54966537297356,73.54002624671915,79.71709328035553,94.74903778392152,84.56505833498122,21396.920372,13,0.9301823978375986,0.7120177354641051,0.025,0.8888999999999999,0.0275,99.2,61179.0
7,beijingdou,Josh Ong,Mythic,81.22209530590582,75.72632747829597,78.77105658483742,90.8543259066515,83.52442159383033,19691.714547000003,30,0.9405921479919755,0.6590012811048435,0.027,2.0663,0.05,96.7,139776.0
8,DjaniWhaleSkul,Djani,Mythic,80.4717444192571,76.40192812436905,76.47988557100828,94.18978695722883,76.23650385604113,9943.187104999999,8,0.939449448465601,0.823083101557275,0.006,0.11016999999999999,0.005,99.7,9606.0
9,monitalan,MonicaTalan,Mythic,80.41291508736916,84.91495053502928,74.30035250136204,82.34751585623681,73.31827170259047,5275.428455,8,0.9873447884417388,0.7698466620309514,0.009,0.07652344,0.006,98.5,13564.0
10,Jampzey,Jampzey,Mythic,79.39608360167529,82.57041187159297,73.9035276909228,89.85682631322167,64.81955704963417,6416.895484000001,8,0.9852413633191611,0.6693738370470751,0.0055,0.504398999,0.009899999,97.7,117919.0
