rank,xHandle,displayName,tier,compositeScore,dim_performance,dim_market,dim_engagement,dim_reach,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,multiplierBreadth,cryptoCreatorRank,cryptoCreatorXeets,osFloorCommon,osFloorRare,ethSaleVolume,highestSaleCommon,highestSaleRare,priceTrajectory,rarityPremiumRatio,saleVelocity30d,ownCardsHeld,deckReachScore,followers,nicheDiversity,bestRank,totalSupply,uniqueCollectors,collectorDensity
1,waleswoosh,wale.moca 🐳,Mythic,87.97072910058621,84.19155057540885,82.63850034335496,97.54865483353856,94.1650187858414,15498.440375999999,12,0.9580862632270112,0.7717311086841065,0,15.0,8216.797471,0.0477,0.55,3.0957978899999996,0.089,0.3,-0.026002497216323694,11.530398322851154,14,7,99.0,172546.0,6,3.0,79,61,0.7722
2,beijingdou,Josh Ong,Mythic,87.66004733699373,88.32444982838683,79.7133642771451,89.41644402109519,96.79091688089117,19691.714547000003,30,0.9405921479919755,0.6590012811048435,10,253.0,2476.502586,0.027,0.17,2.0663,0.05,0.25,-0.0012221024128870623,6.296296296296297,8,7,96.7,139776.0,7,2.0,93,71,0.7634
3,ProofOfEly,Ely,Mythic,86.4166342052941,94.01529376135676,81.08974769866282,77.65789443115025,86.71000593237096,30073.826631,17,0.9885672474420408,0.7288632269187438,3,102.0,4482.970846,0.079999999,0.19,2.7028599899999706,0.049,0.25,-0.033269643022854144,2.3750000296875005,12,1,98.5,43279.0,6,1.0,105,77,0.7333
4,lizmoneyweb,Lizzie,Mythic,85.17571853730674,94.35160508782555,75.74719801070776,89.17840299235648,71.08397600685518,14280.055781999998,13,0.9888525419153525,0.8220217811806039,2,282.0,2355.076502,0.035,nan,0.28969998888799003,0.01699999999999,0.025,-0.0036938814464992213,nan,9,2,99.5,11048.0,7,1.0,86,78,0.907
5,chesus,CHESUS🧀,Mythic,83.65659231894693,83.69816272965879,79.37093943420169,87.78861835838579,85.17912464570563,21396.920372,15,0.906653941908086,0.6963794046217012,5,546.0,1983.489933,0.025,nan,0.8888999999999999,0.0275,0.05,-0.01622019672527265,nan,11,3,99.2,61179.0,5,1.0,86,72,0.8372
6,greenytrades,Greeny,Mythic,83.40278509004895,92.24258025439127,93.8464266863412,53.650012777919756,82.09429174082132,16454.923690999996,10,0.9750245760297958,0.8200683563039626,2,127.0,3776.444449,0.0148999999,0.037,0.6239,0.02,0.09,0.00318664517157964,2.483221493175983,14,2,0.3,43093.0,5,2.0,94,72,0.766
7,TimHaldorsson,Tim Haldorsson,Mythic,81.62644386526974,90.8170300827781,74.89183006224876,78.72267848430639,72.21425746490013,10822.504989000001,8,0.9907535564858483,0.8266208639111587,1,169.0,3074.095434,0.006,0.033,0.202068,0.01,0.057,-0.002397978341925046,5.5,13,1,99.5,31494.0,4,1.0,92,86,0.9348
8,lokithebird,LoKi 😈,Mythic,81.44418130165714,77.25812638804766,83.27614012561607,97.80650744604232,67.73729483883726,7865.045496,7,0.9231571624505374,0.896331766114387,0,31.0,6904.196982,0.0119,0.045,0.32220000000000004,0.01,0.07,0.005304786633142109,3.7815126050420163,7,7,99.2,48666.0,3,9.0,78,69,0.8846
9,DjaniWhaleSkul,Djani,Mythic,81.38012434695821,81.56970522915404,78.22988557100828,95.64930418418791,67.09940017137961,9943.187104999999,9,0.9089921023397936,0.8144218923810083,1,237.0,2551.119583,0.006,0.022,0.11016999999999999,0.005,0.01,0.0015380813394598792,3.6666666666666665,12,9,99.7,9606.0,7,3.0,98,90,0.9184
10,CryptoVonDoom,VonDoom ☕️,Mythic,80.28352100326597,85.78573591762569,76.73993939889823,63.00824175824176,94.55062289895194,9597.036074999998,17,0.9299864381743869,0.7261322342693388,3,227.0,2607.273115,0.007,nan,0.5312,0.011,0.015,-0.012039241240181551,nan,14,1,80.8,195157.0,6,1.0,76,71,0.9342
11,Jampzey,Jampzey,Mythic,79.56680885113451,84.24697153240459,73.63429692169204,75.90645981925053,81.85436029266364,6416.895484000001,8,0.9852413633191611,0.6693738370470751,1,135.0,3657.020491,0.0055,0.5,0.504398999,0.009899999,0.022,-0.013498429087046753,90.90909090909092,13,1,97.7,117919.0,4,6.0,100,86,0.86
12,pukerrainbrow,Pukerainbow 🤮🌈,Mythic,79.36622698307232,83.29073288915808,81.80763494273484,67.94896963501614,80.05487443148111,10908.644021000002,10,0.9619446594269968,0.7457094949947091,0,199.0,2782.375407,0.01,0.075,0.33856,0.0099,0.022,0.0019344683964370006,7.5,7,1,89.3,80176.0,4,2.0,82,68,0.8293
13,Hydraze420,Hydraze 🏴‍☠️,Mythic,79.00612656049593,86.18221280032304,72.97522467431222,61.59462049578329,93.13674115087997,7324.343032999999,10,0.9658802967691809,0.6840656777739207,2,196.0,2789.320437,0.007,0.175,0.3593,0.009,0.0299,-0.002543326766327901,24.999999999999996,10,1,75.7,131460.0,6,2.0,92,85,0.9239
14,BR4ted,₿🧞‍♂️,Mythic,78.86072562857836,78.47314758732082,96.4299602373345,64.86009920312246,69.27971129127943,6233.59416,7,0.9477750033960435,0.8544005829747962,0,110.0,4241.449911,0.03,0.3,0.4978999999999999,0.029,0.064,0.03420869523748317,10.0,15,1,80.3,52404.0,3,14.0,82,75,0.9146
15,ProofOfTravis,Travis 💡,Mythic,78.74096432126733,79.18766404199475,80.69283441907278,71.35896661478057,84.13931184496738,9104.352432999998,16,0.8972045261204467,0.6242087771860025,3,216.0,2654.874105,0.006,0.05,0.13614900000000002,0.009,0.022,0.002000186965680669,8.333333333333334,10,1,95.1,33235.0,6,1.0,85,81,0.9529
16,Pons_ETH,Pons Asinorum,Mythic,78.27589188695318,81.26130627902282,87.01860360884315,49.225623213995306,94.47729220222794,17922.477654000002,18,0.9264675547013547,0.7625439538083877,0,88.0,4897.657463,0.037,0.19999999,0.7630899999999999,0.0455,0.1,0.031070952533437706,5.405405135135135,6,1,22.3,72345.0,7,1.0,67,57,0.8507
17,Tuteth_,tut™,Mythic,77.82273212754144,86.76191197254188,75.7198542680907,68.3217422112771,70.15770219497726,10126.569162,9,0.932311532505799,0.8702577178775394,2,254.0,2474.71491,0.0069,nan,0.20589000000000002,0.008,0.034,-0.0042258031085368785,nan,19,1,92.6,25098.0,4,4.0,91,84,0.9231
18,Cryptowithkhan,Crypto with Khan ( SFZ ),Mythic,77.68105897570581,79.71325459317585,62.8074003557905,79.51516506749066,94.60582690659811,8950.941226,18,0.9138817291027989,0.6143103937607297,1,829.0,1724.777521,0.0088,0.15,0.47913900000000004,0.0055,0.045,-0.00807679330152676,17.045454545454543,4,4,93.6,77892.0,7,1.0,101,87,0.8614
19,monitalan,MonicaTalan,Mythic,77.62954533724663,86.2862406622249,73.58881403982357,73.29742931487118,67.05573132951025,5275.428455,8,0.9873447884417388,0.7698466620309514,2,414.0,2102.415708,0.009,0.03,0.07652344,0.006,0.013,0.00472114322316563,3.3333333333333335,8,1,98.5,13564.0,5,3.0,88,82,0.9318
20,camolNFT,camol,Mythic,77.56696836989255,74.3805269533616,78.58659127894867,73.10881560300166,90.30897765473601,9697.200521,11,0.9018061798351351,0.7068761289412926,0,47.0,6091.253603,0.01469,0.022,0.42688,0.01,0.019,0.000538529738666567,1.4976174268209665,4,1,94.4,70161.0,6,4.0,86,79,0.9186
21,FogoNPC,Fogo,Mythic,77.19422690548167,79.75075711689885,72.59338541484226,84.43932811374671,68.3847472150814,8624.315318,10,0.9114459381539488,0.6389813580688094,3,1422.0,1443.346582,0.0071,0.029,0.09845339999999,0.005,0.009,0.001568431413356278,4.084507042253521,8,8,98.2,10060.0,7,6.0,82,72,0.878
22,Gyokeres_eth,Gyo,Mythic,77.14954226051823,82.74121744397334,61.036007024784666,91.36484445786772,70.14056423439457,5666.837775000001,8,0.9744234638323999,0.6358554259850047,2,344.0,2192.919747,0.0053,nan,0.07618999998999999,0.00648999999,0.01,-0.00027828744937685295,nan,5,5,99.0,17029.0,5,12.0,86,79,0.9186
23,MagicMikeEditss,MagicMike (dream/acc) bearishaf,Mythic,76.71735198289056,71.85246315364425,90.1890439889654,83.47264944357968,58.23050556983719,7062.020332000001,11,0.8824893191033891,0.3879062273140251,2,1013.0,1612.201617,0.0089,0.057,0.23837999999999998,0.008,0.019,0.004994891356653948,6.404494382022472,18,2,99.7,6026.0,7,2.0,97,89,0.9175
24,banditxbt,banditxbt,Mythic,76.23981991443154,78.54845548152636,66.77104749968092,78.68205631577723,82.60843055830203,7567.15563,7,0.9607202676452713,0.7345393195139954,0,69.0,5586.939235,0.0098999999999,0.115,0.44339,0.03,0.08,-0.0402326680097945,11.616161616278953,3,1,98.7,46197.0,5,7.0,86,81,0.9419
25,pawnie_,Pawnie,Mythic,75.89042136080577,69.61674742580254,86.04773661683899,77.7071416955138,73.26906598114824,4860.41186,17,0.8634380056404283,0.5515821622865996,1,3343.0,1031.172716,0.02299959999,0.048,0.10762999999999999,0.023,0.0025,0.0024809336732323404,2.0869928181737913,10,9,96.7,12168.0,7,10.0,98,85,0.8673
