Tournament,Real Participants,Total Xeets,Avg Xeets/P,Median Xeets,Eligible Winners,Win Rate %,Duration Days
iopn (drop 1),4889,137539,28.1,14,Top 100,2.0,36
solstice,4607,134496,29.2,12,Top 100,2.2,108
desci-news,980,9513,9.7,3,Top 25,2.6,15
claynosaurz,1500,58565,39.0,9,Top 50,3.3,62
cockio,229,6403,28.0,3,Top 10,4.4,11
xyber,2134,51599,24.2,15,Top 100,4.7,42
chimpers,406,17193,42.3,6,Top 20,4.9,15
gvc,446,32571,73.0,8,Top 25,5.6,19
kona,1602,27966,17.5,15,Top 100,6.2,32
valannia,1374,25175,18.3,6,Top 100,7.3,32
iopn (drop 2),1229,12515,10.2,3,Top 100,8.1,30
artery,1217,10905,9.0,4,Top 100,8.2,24
adi*,1194,34671,29.0,10,Top 100,8.4,31
mezo,1190,29469,24.8,6,Top 100,8.4,34
wow,563,14197,25.2,6,Top 50,8.9,33
blinko,451,68809,152.6,12,Top 50,11.1,37
fight,802,11379,14.2,7,Top 100,12.5,28
iopn (drop 3),680,11549,17.0,5,Top 100,14.7,17
vdex,952,12775,13.4,2,Top 150,15.8,31
myriad,2800,171736,61.3,19,Top 500,17.9,99
project-zero,535,30438,56.9,12,Top 100,18.7,57
thrust,689,7268,10.5,4,Top 150,21.8,31
litvm,426,28724,67.4,24,Top 100,23.5,44
megaweapon,411,17533,42.7,8,Top 100,24.3,30
santa-browser,302,20153,66.7,20,Top 75,24.8,35
onsight,387,19176,49.6,9,Top 100,25.8,31
gamblr,368,11118,30.2,9,Top 100,27.2,31
lute,1812,14065,7.8,4,Top 500,27.6,32
cipher,235,14595,62.1,22,Top 100,42.6,37
xeet*,33669,1826863,54.3,10,Everyone,100.0,205
ct,89655,16967202,189.2,32,Everyone,100.0,219
xeetsgiving,13445,157090,11.7,10,Everyone,100.0,3
abstract,4620,381723,82.6,33,Everyone,100.0,98
